2016-01-09	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-10	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-11	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-12	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-13	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-14	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-15	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-16	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-17	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-18	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-19	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-20	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-21	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-22	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-23	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-24	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-25	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-26	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-27	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-28	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-29	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-30	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-01-31	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-07-01	100%	1.48%	0.74%	0%	0%	0%	0%	0%
2016-07-02	100%	3.66%	0%	0%	0%	0%	0%	0%
2016-07-03	100%	6.79%	0%	0%	0%	0%	0%	0%
2016-07-04	100%	0%	0%	0%	0%	0%	0%	0%
2016-07-05	100%	0%	0%	0%	0%	0%	0%	0%
2016-07-06	100%	0.75%	0%	0%	0%	0%	0%	0%
2016-07-07	100%	0.32%	0%	0%	0%	0%	0%	0%
2016-07-08	100%	0%	0%	0%	0%	0%	0%	0%
2016-07-09	100%	3.43%	0%	0%	0%	0%	0%	0%
2016-07-10	100%	0.51%	0.51%	0%	0%	0%	0%	0%
2016-07-11	100%	0.78%	0%	0%	0%	0%	0%	0%
2016-07-12	100%	0.65%	0%	0%	0%	0%	0%	0%
2016-07-13	100%	0.83%	0%	0%	0%	0%	0%	0%
2016-07-14	100%	0%	0%	0%	0%	0%	0%	0%
2016-07-15	100%	2.38%	0%	0%	0%	0%	0%	0%
2016-07-16	100%	0.64%	0%	0%	0%	0%	0%	0%
2016-07-17	100%	13.47%	0%	0%	0%	0%	0%	0%
2016-07-18	100%	0%	0%	0%	0%	0%	0%	0%
2016-07-19	100%	0.72%	0%	0%	0%	0%	0%	0%
2016-07-20	100%	0.84%	0%	0%	0%	0%	0%	0%
2016-07-21	100%	0%	0%	0%	0%	0%	0%	0%
2016-07-22	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-07-23	100%	0%	0%	0%	0%	0%	0%	0%
2016-07-24	100%	0%	0%	0%	0%	0%	0%	0%
2016-07-25	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-07-26	100%	1.56%	0%	0%	0%	0%	0%	0%
2016-07-27	100%	0%	0%	0%	0%	0%	0%	0%
2016-07-28	100%	3.15%	0%	0%	0%	0%	0%	0%
2016-07-29	100%	0%	0%	0%	0%	0%	0%	0%
2016-07-30	100%	0%	0%	0%	0%	0%	0%	0%
2016-07-31	100%	0.6%	0%	0%	0%	0%	0%	0%
2016-06-01	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-02	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-03	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-04	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-05	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-06	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-07	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-08	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-09	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
